train loss,validation loss
-2.6968929962582058,-1.8572898082733154
-1.7896020133972168,-1.5194158004760743
-1.506071366267734,-1.322810482597351
-1.3110634318881564,-1.0896301387786864
-1.1286046817276212,-0.8689436381578446
-0.9474175485372544,-0.9111018189430237
-0.723190802195337,-0.493485001373291
-0.4861652898417579,-0.4525894068241119
-0.2936026678058836,-0.2962680537700653
-0.12207766778071721,0.07595125806331635
0.02183647624651591,0.12202921721935273
0.1378829240123431,-0.0027371652126312257
0.282875841723548,0.28257290647029876
0.3534236370722453,0.5911771784543991
0.44953378310600917,-0.13988496232032777
0.5314216931634479,-0.35058075494766233
0.5825936302926805,0.6436755958795547
0.6596930188735326,0.7948908035993576
0.7221115877575345,0.523956232213974
0.761278134255939,1.0962114170074464
0.8589246669318941,1.2155763917922973
0.8771382535960939,0.7883453487873078
0.9472407614072164,1.1952092689990996
0.9535767189688152,1.3091004687547683
1.0307947718540826,1.1138225908756256
1.0605834927161535,1.1259713716983795
1.060651109480858,1.1364319252967834
1.1376541867997911,1.4680851470470428
1.1374215494950612,-0.042476913285255435
1.1618595169756147,1.5532396916627884
1.229458687546518,1.4366476957321166
1.2472229291624493,0.7375231641292572
1.2792911668830447,1.4910791052818297
1.3217678926110268,1.6034528200149536
1.3319338820589914,1.5289314813613892
1.3790023688236872,1.0925291893720628
1.4084267894082598,0.9392951265573501
1.3940708935340245,1.6278160191535949
1.4535989423010085,0.4552079704761505
1.5072251877016491,1.0092574785947799
1.485968066657914,1.7694422117233277
1.5565341956588956,1.7054976335525514
1.5944879571384853,1.3374658677101134
1.5607048736545774,1.572332004070282
1.566869394270579,1.6739755918622017
1.6144043414142397,1.427672773003578
1.656197197620074,0.535151995754242
1.6938445186641482,1.8736947101593018
1.6778063728200066,1.9766651491165161
1.7419298356639015,1.6346138551712037
1.7568207238992055,1.930496928024292
1.728458949918217,1.9197425212860106
1.7991456020832062,1.4680893236875534
1.8017974790864522,2.0580492057800295
1.8035889960394966,2.0426659744262694
1.7937314890649583,1.7732497776031495
1.7957558035877015,1.7027547609329223
1.876492375588417,2.153243020248413
1.9037141314850914,2.003823414993286
1.8514659801721574,2.1240131298065186
1.9340501961867014,2.3585367728233337
1.9569750033537547,2.021064661884308
1.9630721817943786,2.1977488399505614
1.986035280307134,2.259514336013794
2.0172862030294207,1.7432794632911681
2.006799276492331,2.174604401779175
2.052621689944797,1.9259635414123535
2.0155669798877502,2.2613029373168945
2.053052563460668,2.037907424926758
2.0778000557952456,2.234240573883057
2.0860699475102953,2.557037166595459
2.1070301911195117,1.702053180027008
2.1146044884840647,2.3091419036865233
2.1207967961417302,1.8921777492523193
2.163866433016459,2.0110147050857545
2.1583116222831937,2.5188048820495608
2.1873588897281224,1.5814196666717528
2.198114046290186,2.3165697650909425
2.240600858979755,1.9797613483428955
2.1971121044158934,2.6168962703704834
2.229503260649575,2.6016006217956544
2.2329265569766363,2.5465609462738037
2.257503320089976,2.4223180545806886
2.256640421676636,2.068298733520508
2.2629590672069124,2.3701917663574217
2.2805481229808597,2.565915126800537
2.2722334037966196,2.227709502029419
2.315225768608517,2.4599294647216796
2.322975707973374,1.5949902969837189
2.3290302315235136,2.548061037826538
2.380984245268504,2.3282958372116087
2.363197637695736,2.690498752975464
2.395929054874844,1.6111589782238007
2.37919151863522,2.479624768829346
2.393109271642897,2.63564179725647
2.39742364010281,2.7014159774780273
2.4346843690448337,2.768223497200012
2.426312411705653,2.467640649032593
2.4102520008616977,2.651408548545837
2.4457712158971363,2.212501609325409
2.4663051449669733,2.032173984003067
2.5009182201597424,2.551292784500122
2.5330192299313015,2.7750672302246095
2.4809187241898645,2.872298900604248
2.5024933529429965,2.3254797992706298
2.541849237362544,2.5836391651153563
2.5099424113591513,2.656271996688843
2.5151375181674958,2.7578916831970215
2.57756371606191,2.6043493782043456
2.527489060666826,2.722345545196533
2.559982863320245,2.8572709526062012
2.526864133834839,1.8092943970680238
2.5947730377409193,2.841592152404785
2.5982683873229555,2.567300756072998
2.5983804335488214,2.8034110530853273
2.6250715834511653,1.7203313373565674
2.5838875814331903,2.7243248107910154
2.594982981830173,2.5002159969329836
2.6175889406628077,2.4346117986679077
2.6216505907270644,2.721129200744629
2.6348185195922853,2.8645479110717775
2.675167383617825,2.7197633987426757
2.630564469130834,3.01265472946167
2.6650477183553907,2.775694341278076
2.6774418800989785,2.5265133472442627
2.6660446957270305,2.570950680923462
2.697462213643392,2.8489599555969236
2.6772684778637355,2.67610394821167
2.6881177230834963,2.8548742595672607
2.722576662402683,3.0164662101745607
