,line,log_prob,log(s_cnv),log(m_cnv),log(p_0)
wt,wt,12.962461471557617,-0.7381561,-4.344892,-3.7729044
ltr,ltr,13.31789779663086,-0.73768467,-4.835881,-4.3162537
ars,ars,12.23739242553711,-0.8402579,-5.6174593,-5.388713
all,all,12.087841033935547,-0.89968836,-5.049737,-5.218887
