,line,$log_{10}(s_C)$,$log_{10}(s_C)$.1,$log_{10}(s_C)$.2
194,ltr,-0.7156269550323486,-4.996106147766113,-4.492376327514648
195,ltr,-0.7435965538024902,-4.789246082305908,-4.258941650390625
196,ltr,-0.7027097940444946,-5.087362289428711,-4.603574752807617
197,ltr,-0.727500319480896,-4.917183876037598,-4.408412933349609
198,ltr,-0.7284005880355835,-4.9151611328125,-4.409117698669434
199,ltr,-0.7183387279510498,-4.987651824951172,-4.486193656921387
200,ars,-0.837890625,-5.660006523132324,-5.431675910949707
201,ars,-0.8361746072769165,-5.685293674468994,-5.451107978820801
202,ars,-0.8463822603225708,-5.574404716491699,-5.3281660079956055
203,ars,-0.8427785634994507,-5.623055458068848,-5.405160427093506
204,ars,-0.8315067291259766,-5.724699974060059,-5.467258453369141
205,ars,-0.8359472751617432,-5.629037857055664,-5.388697624206543
206,ars,-0.8316452503204346,-5.714842796325684,-5.4918131828308105
207,ars,-0.8394156694412231,-5.587546348571777,-5.352968215942383
208,ars,-0.8489331007003784,-5.538446426391602,-5.277939796447754
209,ars,-0.8390023708343506,-5.584638595581055,-5.392317295074463
210,ars,-0.8306969404220581,-5.712509632110596,-5.497990608215332
211,ars,-0.8380534648895264,-5.6457109451293945,-5.441242694854736
212,ars,-0.8303890228271484,-5.67006778717041,-5.454205989837647
213,ars,-0.8505109548568726,-5.546606063842773,-5.274858474731445
214,ars,-0.8418543338775635,-5.583590507507324,-5.400226593017578
215,ars,-0.8304358720779419,-5.686038017272949,-5.463034152984619
216,ars,-0.8310021162033081,-5.692688941955566,-5.497726440429688
217,ars,-0.8443284034729004,-5.584499359130859,-5.376741409301758
218,ars,-0.8251888751983643,-5.768766403198242,-5.501170635223389
219,ars,-0.8295152187347412,-5.732370376586914,-5.483637809753418
220,ars,-0.8368436098098755,-5.642512321472168,-5.41708517074585
221,ars,-0.8570147752761841,-5.453853607177734,-5.233201026916504
222,ars,-0.8245213031768799,-5.762552261352539,-5.532438278198242
223,ars,-0.8293061256408691,-5.718114852905273,-5.503209590911865
224,ars,-0.8243006467819214,-5.765801429748535,-5.514886856079102
225,ars,-0.8518296480178833,-5.506355285644531,-5.302620887756348
226,ars,-0.8443557024002075,-5.561534881591797,-5.322378635406494
227,ars,-0.8334167003631592,-5.676824569702148,-5.482467651367188
228,ars,-0.847145676612854,-5.528118133544922,-5.299304485321045
229,ars,-0.8517512083053589,-5.544812679290772,-5.288331985473633
230,ars,-0.8253942728042603,-5.726181983947754,-5.490964889526367
231,ars,-0.8441523313522339,-5.622914791107178,-5.346716403961182
232,ars,-0.8446270227432251,-5.581073760986328,-5.351387023925781
233,ars,-0.8267338275909424,-5.771640777587891,-5.525519371032715
234,ars,-0.8544338941574097,-5.528851509094238,-5.267707824707031
235,ars,-0.8458598852157593,-5.574634552001953,-5.334704399108887
236,ars,-0.8258544206619263,-5.720865249633789,-5.51059627532959
237,ars,-0.8385398387908936,-5.614428997039795,-5.399014949798584
238,ars,-0.8246700763702393,-5.758402347564697,-5.5037760734558105
239,ars,-0.8356709480285645,-5.682150840759277,-5.400619029998779
240,ars,-0.851691722869873,-5.495258331298828,-5.298835754394531
241,ars,-0.8317310810089111,-5.683452606201172,-5.481179237365723
242,ars,-0.8435801267623901,-5.543925285339356,-5.338205337524414
243,ars,-0.847698450088501,-5.523433685302734,-5.2917585372924805
244,ars,-0.8395100831985474,-5.581439971923828,-5.35947322845459
245,ars,-0.8276209831237793,-5.723446846008301,-5.51117753982544
246,ars,-0.8353224992752075,-5.647223949432373,-5.412752628326416
247,ars,-0.8535186052322388,-5.524565696716309,-5.271624565124512
248,ars,-0.8478378057479858,-5.574060916900635,-5.306220531463623
249,ars,-0.8481549024581909,-5.542512893676758,-5.287293434143066
250,ars,-0.8337244987487793,-5.640249729156494,-5.417535781860352
251,ars,-0.8260020017623901,-5.739952087402344,-5.508645057678223
252,ars,-0.8392672538757324,-5.611049652099609,-5.429826736450195
253,ars,-0.8382320404052734,-5.636475086212158,-5.375830173492432
254,ars,-0.8450278043746948,-5.569786548614502,-5.377380847930908
255,ars,-0.8361287117004395,-5.619469165802002,-5.399478912353516
256,ars,-0.8360533714294434,-5.603676795959473,-5.405014991760254
257,ars,-0.8594038486480713,-5.440058708190918,-5.2113423347473145
258,ars,-0.860805869102478,-5.4295654296875,-5.19334888458252
259,ars,-0.838655948638916,-5.631473064422607,-5.367619037628174
260,ars,-0.8443503379821777,-5.623325347900391,-5.350179195404053
261,ars,-0.8442922830581665,-5.583912372589111,-5.32821798324585
262,ars,-0.8425213098526001,-5.574139595031738,-5.351491928100586
263,ars,-0.8365259170532227,-5.646562576293945,-5.412198543548584
264,ars,-0.850151777267456,-5.522968292236328,-5.325802803039551
265,ars,-0.8432143926620483,-5.554937362670898,-5.34092903137207
266,ars,-0.8453673124313354,-5.537224769592285,-5.333393096923828
267,ars,-0.8477336168289185,-5.541842937469482,-5.335887908935547
268,ars,-0.8424072265625,-5.571135997772217,-5.3782806396484375
269,ars,-0.8479939699172974,-5.52730655670166,-5.30938720703125
270,ars,-0.8454247713088989,-5.611242294311523,-5.364410400390625
271,ars,-0.8439500331878662,-5.543506622314453,-5.330543041229248
272,ars,-0.8351114988327026,-5.672579765319824,-5.446442604064941
273,ars,-0.8389629125595093,-5.621974468231201,-5.402093410491943
274,ars,-0.8374013900756836,-5.6153564453125,-5.401872158050537
275,ars,-0.8367171287536621,-5.664647102355957,-5.3907670974731445
276,ars,-0.8254282474517822,-5.742401123046875,-5.525693893432617
277,ars,-0.8423253297805786,-5.608020782470703,-5.351872444152832
278,ars,-0.8465418815612793,-5.538321495056152,-5.302410125732422
279,ars,-0.8438740968704224,-5.583099365234375,-5.357068538665772
280,ars,-0.8562296628952026,-5.441493988037109,-5.2295989990234375
281,ars,-0.8307754993438721,-5.726719856262207,-5.483748435974121
282,ars,-0.8475247621536255,-5.554436206817627,-5.291191101074219
283,ars,-0.8308082818984985,-5.732823371887207,-5.490363121032715
284,ars,-0.8259551525115967,-5.766066551208496,-5.535237789154053
285,ars,-0.8276474475860596,-5.691143035888672,-5.490734577178955
286,ars,-0.825778603553772,-5.735535621643066,-5.481754779815674
287,ars,-0.8529621362686157,-5.51524543762207,-5.291168212890625
288,ars,-0.826738715171814,-5.750517845153809,-5.517451286315918
289,ars,-0.840359091758728,-5.645319938659668,-5.392698764801025
290,ars,-0.8344178199768066,-5.647748947143555,-5.440273284912109
291,ars,-0.853081464767456,-5.498682498931885,-5.258766174316406
292,ars,-0.8341760635375977,-5.645061492919922,-5.434081554412842
293,ars,-0.8437843322753906,-5.566351890563965,-5.331702709197998
294,ars,-0.8408875465393066,-5.611787796020508,-5.411452770233154
295,ars,-0.8458597660064697,-5.53395938873291,-5.3493523597717285
296,ars,-0.839563250541687,-5.607754707336426,-5.386739730834961
297,ars,-0.8435913324356079,-5.545267105102539,-5.346597194671631
298,ars,-0.8479857444763184,-5.567883491516113,-5.302124500274658
299,ars,-0.8416433334350586,-5.614444732666016,-5.402682781219482
300,all,-0.8833229541778564,-5.190092086791992,-5.317162036895752
301,all,-0.901593804359436,-5.054921627044678,-5.301121711730957
302,all,-0.8969796895980835,-5.10450553894043,-5.257650375366211
303,all,-0.905311107635498,-5.013486862182617,-5.201934814453125
304,all,-0.8956146240234375,-5.052708625793457,-5.272688865661621
305,all,-0.9093350172042848,-4.951078414916992,-5.099843502044678
306,all,-0.9046003818511964,-4.9981369972229,-5.268946647644043
307,all,-0.903423309326172,-5.047414779663086,-5.163461208343506
308,all,-0.9031974077224731,-5.029629230499268,-5.301547527313232
309,all,-0.8944482803344727,-5.090852737426758,-5.267341136932373
310,all,-0.9037642478942872,-5.029398918151856,-5.30275821685791
311,all,-0.9026678800582886,-5.04594612121582,-5.287942409515381
312,all,-0.8938992023468018,-5.10794734954834,-5.225695610046387
313,all,-0.9122674465179444,-4.9687089920043945,-5.163210391998291
314,all,-0.8971805572509766,-5.100666046142578,-5.300712585449219
315,all,-0.8976155519485474,-5.039003372192383,-5.196209907531738
316,all,-0.9042259454727172,-4.987585067749023,-5.169559478759766
317,all,-0.8910235166549683,-5.1166090965271,-5.309981346130371
318,all,-0.8932547569274902,-5.09617280960083,-5.315881252288818
319,all,-0.9043503999710084,-5.049088478088379,-5.174998283386231
320,all,-0.8909714221954346,-5.140048027038574,-5.224923133850098
321,all,-0.906763792037964,-4.990477085113525,-5.220271587371826
322,all,-0.8946019411087036,-5.093173027038574,-5.347940921783447
323,all,-0.9038771390914916,-5.025151252746582,-5.382154941558838
324,all,-0.9052207469940186,-4.988633155822754,-5.142327785491943
325,all,-0.8936774730682373,-5.087377071380615,-5.229353427886963
326,all,-0.8982987403869629,-5.034954071044922,-5.1670989990234375
327,all,-0.9058002233505248,-5.011783599853516,-5.164953231811523
328,all,-0.8922228813171387,-5.093240261077881,-5.192395210266113
329,all,-0.902661919593811,-5.029360294342041,-5.112056732177734
330,all,-0.9056124687194824,-4.972176551818848,-5.177011966705322
331,all,-0.9036496877670288,-5.020959854125977,-5.2712178230285645
332,all,-0.9027156829833984,-5.040596961975098,-5.412487030029297
333,all,-0.9007222652435304,-5.032031536102295,-5.4201250076293945
334,all,-0.8875370025634766,-5.162573337554932,-5.25818395614624
335,all,-0.905314803123474,-4.994367599487305,-5.321629047393799
336,all,-0.8972182273864746,-5.099910259246826,-5.237002372741699
337,all,-0.8910517692565918,-5.106564521789551,-5.308908462524414
338,all,-0.8884782791137695,-5.1502885818481445,-5.31352424621582
339,all,-0.9102483987808228,-4.986509323120117,-5.204354763031006
340,all,-0.8963254690170288,-5.062568187713623,-5.233936309814453
341,all,-0.8913849592208862,-5.146100997924805,-5.280352115631104
342,all,-0.9071938991546632,-4.990067481994629,-5.122308254241943
343,all,-0.8978450298309326,-5.069953918457031,-5.25865364074707
344,all,-0.8940728902816772,-5.109814643859863,-5.250929355621338
345,all,-0.9031507968902588,-5.047840595245361,-5.228811264038086
346,all,-0.9063252210617064,-5.022032737731934,-5.240220546722412
347,all,-0.9074870347976683,-4.990164756774902,-5.270237922668457
348,all,-0.8880138397216797,-5.126336574554443,-5.284182071685791
349,all,-0.9070721864700316,-5.006786346435547,-5.132266044616699
350,all,-0.8985567092895508,-5.042779445648193,-5.364640235900879
351,all,-0.8994555473327637,-5.061324119567871,-5.283219337463379
352,all,-0.9006719589233398,-5.047797203063965,-5.174956321716309
353,all,-0.9029361009597778,-5.039660453796387,-5.39080810546875
354,all,-0.8894115686416626,-5.129327774047852,-5.267515182495117
355,all,-0.8972185850143433,-5.052996635437012,-5.163321018218994
356,all,-0.9037610292434692,-4.993464469909668,-5.188320159912109
357,all,-0.8935607671737671,-5.0799407958984375,-5.244390964508057
358,all,-0.9004857540130615,-5.033987998962402,-5.362327575683594
359,all,-0.9087756872177124,-4.985987663269043,-5.26898193359375
360,all,-0.898550271987915,-5.069283485412598,-5.171268939971924
361,all,-0.9102176427841188,-4.972353458404541,-5.174964904785156
362,all,-0.8920856714248657,-5.124785900115967,-5.275921821594238
363,all,-0.8994954824447632,-5.091230869293213,-5.314939022064209
364,all,-0.8990730047225952,-5.064939975738525,-5.194854736328125
365,all,-0.9063758850097656,-4.986051082611084,-5.110267162322998
366,all,-0.896293044090271,-5.067503929138184,-5.252817630767822
367,all,-0.9083859920501708,-4.992302894592285,-5.176853656768799
368,all,-0.905504584312439,-5.014285087585449,-5.1610846519470215
369,all,-0.899638295173645,-5.08380651473999,-5.3189215660095215
370,all,-0.9095350503921508,-4.993953704833984,-5.263689994812012
371,all,-0.9023627042770386,-5.044818878173828,-5.2027506828308105
372,all,-0.8997311592102051,-5.058640956878662,-5.245632648468018
373,all,-0.8979331254959106,-5.05744218826294,-5.205654144287109
374,all,-0.8947120904922485,-5.0638275146484375,-5.195443153381348
375,all,-0.892971396446228,-5.133454322814941,-5.263430118560791
376,all,-0.899786114692688,-5.039063453674316,-5.4434967041015625
377,all,-0.8928803205490112,-5.101602077484131,-5.364197254180908
378,all,-0.8979548215866089,-5.098677635192871,-5.278121948242188
379,all,-0.904301643371582,-5.010079383850098,-5.388239860534668
380,all,-0.9073455333709716,-5.013617038726807,-5.190345764160156
381,all,-0.9092229604721068,-4.993190765380859,-5.133646488189697
382,all,-0.8993388414382935,-5.033992767333984,-5.293906211853027
383,all,-0.9051531553268432,-4.990223407745361,-5.25130558013916
384,all,-0.907079577445984,-4.995177268981934,-5.259734153747559
385,all,-0.9082701206207277,-5.00090217590332,-5.241470813751221
386,all,-0.8963388204574585,-5.068126201629639,-5.196356773376465
387,all,-0.903916835784912,-5.013866424560547,-5.225945472717285
388,all,-0.8951786756515503,-5.057964324951172,-5.320055961608887
389,all,-0.9112591743469238,-4.969339370727539,-5.224016189575195
390,all,-0.8993594646453857,-5.054141998291016,-5.378121376037598
391,all,-0.8927124738693237,-5.0897393226623535,-5.280455112457275
392,all,-0.9051655530929564,-4.994124889373779,-5.234390735626221
393,all,-0.8988113403320312,-5.050528526306152,-5.144412040710449
394,all,-0.9009512662887572,-5.034835815429688,-5.386830806732178
395,all,-0.9015238285064696,-5.029499053955078,-5.282221794128418
396,all,-0.8998103141784668,-5.063234329223633,-5.350779533386231
397,all,-0.8966739177703857,-5.067135810852051,-5.390141487121582
398,all,-0.8950209617614746,-5.053731441497803,-5.191407203674316
399,all,-0.8961249589920044,-5.0888447761535645,-5.288632392883301
