,-150,-250,-350
wt,554.6785888671875,857.9504024963016,1154.6785888671875
ltr,630.5494384765625,1030.5493650311955,1430.54931640625
ars,796.0040893554688,1232.8048358769845,1432.130126953125
all,867.6372680664062,1402.8837813033845,1886.5279541015625
lauer,1119.4715576171875,1646.309923872573,2112.340087890625
